customer_id,customer_name,customer_gender,customer_birthdate,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude
11259,Louis Huffman,male,08/22/1948 05:06 AM,0.0,2.0,2.0,3.0,6238.0,818.0,18.0,1553.0,1479.0,1580.0,2011.0,1039.0,361.0,457.0,1520.0,210.0,0.6234140656335838,2000.0,917650.0,38.6838972931342,-9.172941830731357
6538,Msc. Noel Ward,male,02/12/1967 07:51 PM,2.0,1.0,3.0,3.0,4188.0,1048.0,14.0,2060.0,1549.0,2756.0,3575.0,1913.0,562.0,67.0,957.0,92.0,0.5556372896683678,2017.0,906928.0,38.790489817777804,-9.115064344417398
14274,Bsc. Scott Giordano,male,04/10/1986 05:10 PM,0.0,0.0,1.0,1.0,25269.0,4047.0,12.0,4905.0,2357.0,607.0,495.0,303.0,724.0,442.0,1213.0,85.0,0.2592478634794662,2014.0,958107.0,38.77560924378513,-9.112610338532031
7796,William Lacy,male,01/03/1999 01:47 AM,0.0,1.0,1.0,3.0,8292.0,1524.0,15.0,2281.0,650.0,1102.0,3018.0,1877.0,560.0,1028.0,1005.0,169.0,0.4197298006522026,2024.0,967864.0,38.73664051384805,-9.158547738208162
4521,Bsc. Nathan Minor,male,10/21/1957 07:34 AM,3.0,1.0,2.0,3.0,43692.0,3718.0,10.0,6068.0,3014.0,1974.0,6982.0,3093.0,1635.0,868.0,745.0,345.0,0.4288212659809776,2004.0,971603.0,38.726597493429395,-9.109802844499304
12262,Lois Dorko,female,09/29/2000 04:05 AM,0.0,0.0,0.0,1.0,5502.0,1321.0,22.0,1168.0,2663.0,1811.0,1208.0,888.0,557.0,1152.0,1428.0,106.0,0.7010425629949786,2022.0,,38.75264352212153,-9.158472207137004
6855,Bsc. John Otis,male,07/25/1955 11:49 AM,3.0,1.0,2.0,1.0,2598.0,1307.0,10.0,5107.0,2684.0,844.0,462.0,409.0,1048.0,194.0,1212.0,62.0,0.08816775742905514,2014.0,935190.0,38.68431110611187,-9.191927966938703
5289,Msc. Dennis Wilber,male,04/18/2000 07:24 PM,4.0,1.0,0.0,1.0,17042.0,3913.0,22.0,5344.0,1683.0,1555.0,255.0,272.0,103.0,459.0,1097.0,121.0,0.41598780093185966,2025.0,921310.0,38.67656284409002,-9.188501677448375
8263,Ruby Magee,female,07/10/1967 08:00 PM,0.0,0.0,1.0,8.0,9547.0,822.0,11.0,1520.0,670.0,1068.0,2589.0,1350.0,607.0,789.0,446.0,80.0,0.8324392072328745,2014.0,957311.0,38.70232998397979,-9.202464877940976
16710,Autumn Lloyd,female,08/15/1984 09:40 PM,5.0,3.0,1.0,2.0,29641.0,3976.0,10.0,6601.0,2213.0,1830.0,5898.0,3314.0,421.0,600.0,714.0,261.0,0.40636272032117354,2009.0,909577.0,38.74962197484775,-9.123258887707856
6847,Dale Landry,female,09/27/1994 12:42 AM,0.0,0.0,1.0,2.0,13757.0,2269.0,17.0,830.0,1608.0,977.0,1420.0,1762.0,505.0,874.0,637.0,55.0,0.6572256515073857,2018.0,938815.0,38.67482775625675,-9.179405793154471
2793,Msc. Alberto Palmour,male,03/13/1975 09:37 PM,2.0,1.0,0.0,1.0,20325.0,5851.0,9.0,6717.0,1282.0,1833.0,320.0,264.0,667.0,105.0,844.0,89.0,0.26506119840697184,2013.0,998547.0,38.77234758822867,-9.087786572722763
18275,Michael Metts,male,11/15/1968 12:11 AM,3.0,2.0,1.0,1.0,26260.0,3228.0,12.0,4150.0,3858.0,692.0,5812.0,522.0,647.0,926.0,1214.0,232.0,-0.056350291269541386,2008.0,,38.754665697888925,-9.147876381372535
840,Msc. Ruth Hernandez,female,08/06/1954 05:31 PM,3.0,1.0,1.0,2.0,52317.0,4190.0,15.0,2505.0,1880.0,2412.0,2619.0,2764.0,1476.0,708.0,500.0,266.0,0.2445123592339913,2012.0,940002.0,38.688872702833315,-9.150133574849589
6479,Doug Gale,male,11/15/1949 05:23 AM,0.0,0.0,1.0,4.0,6360.0,148.0,21.0,1632.0,1185.0,1386.0,2004.0,1495.0,721.0,175.0,1315.0,274.0,0.6024710290697977,2000.0,989600.0,38.70192810443936,-9.206558688954248
2828,Bsc. Vincent Duckworth,male,06/10/1983 09:00 AM,0.0,1.0,1.0,1.0,6663.0,146.0,11.0,,1455.0,1242.0,1819.0,769.0,392.0,770.0,814.0,116.0,1.265394577357498,2018.0,900872.0,38.76667194901493,-9.155339780090657
6297,Rita Denmon,female,02/24/1949 10:52 AM,1.0,0.0,1.0,3.0,5719.0,1391.0,16.0,921.0,1458.0,664.0,2535.0,1887.0,236.0,1132.0,1063.0,184.0,0.89429076256135,2014.0,932145.0,38.79921647365819,-9.147758171791203
16222,Kimberly Sova,female,12/26/1940 09:02 AM,2.0,1.0,1.0,1.0,41334.0,3829.0,7.0,5223.0,4867.0,1999.0,3002.0,2630.0,1237.0,851.0,1180.0,29.0,0.5117274972289317,2012.0,925090.0,38.720205611025726,-9.125764073259568
11556,Bsc. Dennis Stone,male,02/08/1962 06:16 PM,2.0,1.0,3.0,2.0,69635.0,1947.0,17.0,3029.0,2392.0,1783.0,2993.0,1288.0,313.0,258.0,1565.0,189.0,0.5478267838192501,2010.0,987997.0,38.72199658671835,-9.159996076628943
5234,Bsc. Alvin Channell,male,02/13/1952 05:03 PM,6.0,2.0,1.0,3.0,60417.0,3624.0,17.0,5341.0,4848.0,1648.0,5321.0,1424.0,296.0,285.0,964.0,404.0,0.2785868322352336,2020.0,930579.0,38.67583625215724,-9.23563496836007
17094,Allan Hendrickson,male,02/15/1991 10:05 PM,2.0,1.0,1.0,2.0,21430.0,217.0,15.0,5543.0,2043.0,1166.0,410.0,398.0,1047.0,592.0,1246.0,169.0,0.24150274655755796,2019.0,,38.75433201002769,-9.079614545457783
11974,Judy Paredes,female,08/05/1978 09:21 AM,3.0,0.0,1.0,2.0,27689.0,3132.0,17.0,4961.0,4825.0,1761.0,5305.0,2563.0,1344.0,1075.0,1180.0,97.0,0.23328650418666824,2002.0,931952.0,38.67196747482006,-9.23374928800488
15789,Vincent Hunt,male,06/16/1994 06:46 PM,4.0,2.0,1.0,3.0,32464.0,3460.0,8.0,4033.0,2592.0,2347.0,5477.0,1981.0,241.0,69.0,753.0,402.0,0.7882785286604632,2019.0,966737.0,38.78707916528129,-9.118764768174204
6675,Gordon Rodarte,male,10/24/1978 08:54 PM,1.0,0.0,0.0,4.0,15229.0,1932.0,19.0,726.0,1018.0,1487.0,2658.0,2246.0,501.0,617.0,1154.0,95.0,0.5650499594226495,2019.0,939037.0,38.76218180929798,-9.132898404736357
9874,Bsc. Debi Walker,female,11/23/2001 12:36 AM,2.0,1.0,1.0,2.0,11756.0,2615.0,23.0,4080.0,3207.0,1251.0,297.0,400.0,151.0,780.0,377.0,39.0,0.289744655101848,2026.0,955635.0,38.69308689823005,-9.145536831640653
18607,Leslie Bondurant,male,01/02/1996 02:22 PM,2.0,1.0,2.0,2.0,61831.0,4720.0,17.0,2398.0,3034.0,2819.0,3820.0,2568.0,1699.0,736.0,635.0,192.0,0.027835480704806292,2021.0,,38.743215350164064,-9.172648823366984
4330,Bsc. Misty Daniel,female,01/24/1962 12:20 PM,0.0,0.0,0.0,1.0,19476.0,10485.0,23.0,558.0,911.0,2623.0,413.0,,415.0,5036.0,533.0,29.0,0.22779212773256463,2017.0,930225.0,38.70901640099868,-9.122528550266345
9913,Maria Poucher,female,10/23/1958 02:51 PM,6.0,1.0,2.0,3.0,24957.0,3864.0,12.0,4817.0,4653.0,1212.0,5810.0,2632.0,925.0,22.0,1012.0,163.0,0.0423893852001021,2005.0,930259.0,38.717697958464434,-9.15856388058582
4502,Bsc. Tracy Crowson,female,09/01/1984 08:34 PM,1.0,0.0,2.0,1.0,33215.0,233.0,21.0,6651.0,2165.0,921.0,298.0,437.0,1302.0,397.0,696.0,86.0,0.40434386097076525,2010.0,915058.0,38.761463486769394,-9.130040519596866
